Tournament,Date,Prize,Teams,Location,Winner,Runner-up,Tier,Year
StarLadderStarSeriesSeason3,"Oct18-21,2012","$15,000",7teams,"Kyiv,Ukraine",Na`Vi,Empire,1,2012
TheInternational2012,"Aug26-Sep02,2012","$1,600,000",16teams,"Seattle,UnitedStates",iG,Na`Vi,1,2012
TheDefenseSeason2,"Jun21-Aug12,2012","$12,293",24teams,World,coL,mouz,1,2012
Prodota2WorldwideLeague,"Apr13-Aug05,2012","$20,000",24teams,World,PotM,CLG,1,2012
StarLadderStarSeriesSeason2,"May16-Jul15,2012","$15,000",16teams,"Kyiv,Ukraine",Na`Vi,mouz,1,2012
ThePremierLeagueSeason2,"Apr17-Jul08,2012","$10,000",12teams,World,Na`Vi,CLG,1,2012
DreamHackSummer2012,"Jun16-18,2012","$28,745",16teams,"Jönköping,Sweden",mTw,Na`Vi,1,2012
StarLadderStarSeriesSeason1,"Mar12-Apr29,2012","$15,000",16teams,"Kyiv,Ukraine",Na`Vi,M5,1,2012
ThePremierLeagueSeason1,"Jan04-Mar11,2012","$10,000",10teams,World,Na`Vi,coL,1,2012
TheDefenseSeason1,"Nov15,2011-Mar04,2012","$13,322",24teams,World,Na`Vi,Quantic,1,2012
Dota2StarChampionship,"Dec08-11,2011","$20,000",16teams,"Kiev,Ukraine",TR,Na`Vi,1,2011
ElectronicSportsWorldCup2011,"Oct23-25,2011","$22,000",12teams,"Paris,France",Na`Vi,EHOME,1,2011
TheInternational2011,"Aug17-21,2011","$1,600,000",16teams,"Cologne,Germany",Na`Vi,EHOME,1,2011
HuyaWinterInvitational2021,"Dec23-31,2021","$155,204",10teams,China,Neon,RNG,2,2021
OGADotaPITSeason5:Europe/CIS,"Dec13-20,2021","$175,000",8teams,Europe&CIS,Tundra,TSpirit,2,2021
i-League2021Season2,"Aug19-Sep05,2021","$185,891",7teams,China,Aster,VG,2,2021
BTSProSeriesSeason7:Americas,"Aug09-22,2021","$50,000",8teams,Americas,UND,NoPing,2,2021
OGADotaPITSeason5:China,"Aug07-16,2021","$150,000",8teams,China,PSG.LGD,Elephant,2,2021
