Tournament,Date,Prize,Teams,Location,Winner,Runner-up,Tier,Year
PerfectLandGamingSeason2,"Aug23-Sep14,2021","$15,000",7teams,Asia,Rd,YG,3,2021
MovistarLigaProGamingSeason10,"Sep01-12,2021","$14,000",10teams,SouthAmerica,INF.U,INF.U,3,2021
QHSportsDotaSeries2,"Aug30-Sep12,2021","$15,000",8teams,SoutheastAsia,XctN,Rd,3,2021
YameiProSeries,"Aug16-30,2021","$10,029",8teams,Asia,XctN,MY,3,2021
QHSportsDotaSeries1,"Aug09-22,2021","$15,000",10teams,SoutheastAsia&China,Rd,God,3,2021
Dota2ChampionsLeagueSeason2,"Jul19-Aug10,2021","$50,000",12teams,Europe&CIS,TSpirit,SMASH,3,2021
Mobius.BetMaestros,"Jul26-Aug03,2021","$10,000",8teams,SouthAmerica,NoPing,SG,3,2021
PerfectLandGaming,"Jul10-29,2021","$15,000",8teams,SoutheastAsia,XctN,SMG,3,2021
BIXInvitationalsSummer,"Jul14-25,2021","$10,000",8teams,SoutheastAsia&China,Neon,MC,3,2021
PNXBETInvitationalsSoutheastAsiaSeason2,"Jul14-25,2021","$13,966",10teams,SoutheastAsia,Neon,MG.Trust,3,2021
ClaroGamingApuLeagueSeason1,"Jun28-Jul18,2021","$5,000",8teams,SouthAmerica,HKR,UNK,3,2021
BitelTrueFighters,"Jul05-11,2021","$13,000",8teams,SouthAmerica,0-900,INF,3,2021
MoonStudioAsianTigers,"Jun20-Jul06,2021","$12,000",10teams,Asia,Neon,XctN,3,2021
FDSEsportsInvitational,"Jun29-Jul04,2021","$10,000",8teams,Asia,DM,YG,3,2021
INVie,"Jun19-21,2021","$5,000",4teams,SouthAmerica,UNK,SG,3,2021
UPEAUkrainianCup2021,"Mar31-Jun20,2021","$7,353",8teams,Ukraine,V,Cascade,3,2021
MovistarLigaProGamingSeason9,"Jun07-18,2021","$10,000",8teams,SouthAmerica,UNK,INF,3,2021
MoonStudioAsianShowdown,"May06-Jun13,2021","$16,000",12teams,Asia,Neon,Dragon,3,2021
BTSProSeriesSeason6:SoutheastAsia,"May25-Jun06,2021","$50,000",8teams,SoutheastAsia,MG.Trust,BOOM,3,2021
ESLMeisterschaftSpring2021,"Mar01-May29,2021","$32,554",12teams,Germany,Brame,hehe,3,2021
PNXBETInvitationalsSoutheastAsia,"May03-25,2021","$14,537",10teams,SoutheastAsia,MG.Trust,Neon,3,2021
RussianEsportsChampionship2021,"May22-23,2021","$20,374",4teams,"Chelyabinsk,Russia",Ksmstrs,SMARAC,3,2021
ESLOneDPCEasternEuropeSeason2:LowerDivision,"Apr15-May23,2021","$75,000",8teams,CIS,HR,Empire,3,2021
DotaProCircuit2021:S2-ChinaLowerDivision,"Apr12-May23,2021","$75,000",8teams,China,Phoenix,LBZS,3,2021
DotaProCircuit2021:S2-NorthAmericaLowerDivision,"Apr12-May22,2021","$75,000",8teams,NorthAmerica,D2H,Arkosh,3,2021
DotaProCircuit2021:S2-SoutheastAsiaLowerDivision,"Apr12-May20,2021","$75,000",8teams,SoutheastAsia,MG.Trust,SMG,3,2021
OGADPCSouthAmericaRegionalLeagueSeason2:LowerDivision,"Apr12-May20,2021","$75,000",8teams,SouthAmerica,EGB,BINO,3,2021
DreamLeagueSeason15DPCWesternEuropeLowerDivision,"Apr13-May19,2021","$75,000",8teams,Europe,Vikin.gg,LVLUP,3,2021
OEDLFallInvitational,"Apr28-May15,2021","$13,607",8teams,Oceania&SoutheastAsia,AG,MG.Trust,3,2021
WCAASpringSunshineCup,"Apr06-May02,2021","$18,535",10teams,Asia,IW,DM,3,2021
PositiveFireGames,"Apr12-24,2021","$10,000",20teams,Europe&CIS,Vikin.gg,CF,3,2021
OceanicEsportsDotaLeagueSeason3,"Feb03-Apr17,2021","$19,218",10teams,Oceania,SB.AUV2,OnB,3,2021
Dota2ChampionsLeagueSeason1,"Apr05-12,2021","$25,000",20teams,Europe&CIS,TSpirit,Vikin.gg,3,2021
MoonStudioSpringTrophy,"Mar15-Apr11,2021","$29,000",10teams,Asia,XctN,Ωmega,3,2021
AsiaPacificPredatorLeague2020/21-Asia,"Apr08-10,2021","$35,000",4teams,Asia,Veteran,IMG,3,2021
AsianNewBloom,"Feb28-Mar30,2021","$20,000",14teams,Asia,Ωmega,R|G.,3,2021
PNXBETInvitationalsSeason4,"Mar18-25,2021","$9,253",8teams,Philippines,Ωmega,SBE,3,2021
EPICLeagueSeason3Division2,"Mar15-21,2021","$15,000",8teams,Europe&CIS,PC,Prosti,3,2021
BTSProSeriesSeason5:Americas,"Mar02-21,2021","$40,000",16teams,Americas,4Z,UND,3,2021
MovistarLigaProGamingSeason8,"Mar10-20,2021","$10,000",8teams,SouthAmerica,INF,Infinity,3,2021
DotaProCircuit2021:S1-ChinaLowerDivision,"Jan18-Mar12,2021","$75,000",8teams,"Shanghai,China",SAG,RNG,3,2021
SnowSweetSnow#2,"Feb15-Mar11,2021","$50,000",16teams,Europe&CIS,SMASH,Vikin.gg,3,2021
MoonStudioNewYearShowdown,"Feb10-Mar06,2021","$19,760",15teams,Asia,LBZS,SMG,3,2021
UPEAUkrainianChampionship2020,"Jan18-Mar06,2021","$14,564",8teams,Ukraine,Cascade,45n,3,2021
FreeTONLeague,"Feb28-Mar03,2021","$5,000",8teams,Europe&CIS,Brame,SPigzs,3,2021
WCAASpringFestivalCup,"Feb04-Mar02,2021","$23,181",10teams,Asia,IW,Access,3,2021
DreamLeagueSeason14DPCEULowerDivision,"Jan18-Mar01,2021","$75,000",8teams,Europe,SMASH,Brame,3,2021
DotaProCircuit2021:S1-NorthAmericaLowerDivision,"Jan18-Feb27,2021","$75,000",8teams,NorthAmerica,sT,Cut,3,2021
ESLOneCISOnlineSeason1:LowerDivision,"Jan18-Feb26,2021","$75,000",8teams,CIS,PC,Win,3,2021
OGADPCSouthAmericaRegionalLeagueSeason1:LowerDivision,"Jan18-Feb26,2021","$75,000",8teams,SouthAmerica,Infinity,HKR,3,2021
DotaProCircuit2021:S1-SoutheastAsiaLowerDivision,"Jan18-Feb25,2021","$75,000",8teams,SoutheastAsia,Lilgun,Ωmega,3,2021
IeSFWorldChampionship2020,"Feb13-14,2021","$53,570",10teams,"Eilat,Israel",Cancelled,"",3,2021
SnowSweetSnow#1,"Jan18-Feb12,2021","$50,000",16teams,Europe&CIS,SMASH,PC,3,2021
PNXBETInvitationalsSeason3,"Jan25-Feb09,2021","$8,326",8teams,Philippines,Neon,Ωmega,3,2021
ESLMeisterschaft2020Season2,"Sep22,2020-Jan24,2021","$32,488",12teams,Germany,5C,Brame,3,2021
MoonStudioKaguraChampionships,"Jan12-17,2021","$15,000",8teams,Asia,Neon,Croco,3,2021
WCAAWinterChallengeCup,"Dec10,2020-Jan03,2021","$22,960",10teams,Asia,Access,Void,3,2021
BTSProSeriesSeason4:Europe/CIS,"Dec16-20,2020","$35,000",6teams,Europe&CIS,TSpirit,Vikin.gg,3,2020
PerfectWorldDota2LeagueSeason3-DivisionB,"Dec10-20,2020","$33,654",5teams,Asia,LBZS,Access,3,2020
BTSProSeriesSeason4:Americas,"Dec08-20,2020","$40,000",8teams,Americas,TP,4Z,3,2020
MovistarLigaProGamingFinalSeries,"Dec07-19,2020","$20,000",8teams,SouthAmerica,TP,SG,3,2020
MoonStudioCarnivalCup,"Dec01-19,2020","$15,000",14teams,Asia,LBZS,MagMa,3,2020
ArtisanDotaLeague,"Nov13-Dec15,2020","$45,000",20teams,Asia,SAG,Forest,3,2020
Four04EsportsDota2MENATournament,"Dec03-12,2020","$13,612",8teams,MiddleEast,Lebanon,SyrDrm,3,2020
PNXBETInvitationalsSeason2,"Nov25-Dec03,2020","$6,242",8teams,Philippines,Neon,MFT,3,2020
MotivationCup,"Nov07-30,2020","$60,000",18teams,Europe&CIS,Cancelled,"",3,2020
PerfectWorldDota2LeagueSeason2-DivisionB,"Nov19-29,2020","$33,449",5teams,Asia,LBZS,Forest,3,2020
MovistarLigaProGamingSeason6,"Oct17-Nov23,2020","$23,500",8teams,SouthAmerica,Brasil,Omega,3,2020
PerfectWorldDota2LeagueSeason1-DivisionA,"Oct28-Nov08,2020","$47,644",5teams,Asia,FTD,Phoenix,3,2020
PerfectWorldDota2LeagueSeason1-DivisionB,"Oct28-Nov08,2020","$20,419",5teams,Asia,InkIce,LBZS,3,2020
TheNationalsSeason2,"Oct03-Nov08,2020","$20,781",6teams,Philippines,Cignal,STI,3,2020
ESLPremiership2020Autumn,"Sep05-Nov08,2020","$17,112",8teams,UnitedKingdom,PSLatte,LCoS,3,2020
SaudieLeagues2020,"Oct09-31,2020","$173,321",8teams,"Riyadh,SaudiArabia",01,SDR,3,2020
TopClans2020,"Oct01-30,2020","$20,000",8teams,SoutheastAsia,GXR,MG.Trust,3,2020
MoonStudioMid-AutumnLeague,"Oct01-28,2020","$55,000",19teams,Asia,LBZS,DM,3,2020
OceanicEsportsDotaLeagueSeason2,"Aug05-Oct24,2020","$24,272",10teams,Oceania,Cutea.,AChula,3,2020
AorusLeague-ImpostorEdition,"Oct05-16,2020","$10,000",10teams,SouthAmerica,INF,EGB,3,2020
AOCPlayDota2,"Oct05-13,2020","$5,000",8teams,CIS,Nemiga,EnsisA,3,2020
SazkaeLEAGUEFall2020,"Oct10-11,2020","$8,734",6teams,CzechRepublic&Slovakia,eSuba,HpM,3,2020
PNXBETInvitationals,"Sep28-Oct08,2020","$3,092",8teams,Philippines,Neon,Omega,3,2020
LawofInertiaLeague,"Aug30-Sep22,2020","$15,000",12teams,Asia,SY,Cignal,3,2020
ENTsHariMerdeka&HariMalaysia2020,"Sep13-16,2020","$7,263",8teams,Malaysia,IO,GXR,3,2020
ESLMeisterschaft2020Season1,"May19-Sep05,2020","$31,607",12teams,Germany,Recast,5UpJgz,3,2020
OMEGALeague:AmericasAncientDivision,"Aug18-Sep04,2020","$8,500",12teams,Americas,ba,xixiha.,3,2020
MovistarLigaProGamingSeason5,"Jul02-Aug29,2020","$10,000",16teams,SouthAmerica,TP,EGB,3,2020
GloryoftheSummer,"Aug01-24,2020","$10,000",10teams,CIS,CybS,Khan,3,2020
TheGreatAmericanRivalrySeason1Division2,"Jul04-Aug23,2020","$2,500",10teams,SouthAmerica,UNK,EGB,3,2020
YaboNinjaChampionship,"Jul24-Aug14,2020","$10,000",12teams,SoutheastAsia,XctN,MG.Trust,3,2020
ESLThailandChampionship2020Season1,"Jul26-Aug11,2020","$32,755",4teams,Thailand,MG.Trust,?,3,2020
TimeofBetDota2Cup,"Jul22-Aug11,2020","$10,000",12teams,CIS,NOVA,Caspium,3,2020
MoscowEsports2020Superfinal,"Aug08-09,2020","$4,476",16teams,Russia,TPB,Cyber,3,2020
MoonStudioAsianLeague,"Jul29-Aug09,2020","$45,000",12teams,Asia,black,XctN,3,2020
WorldEsportsEliteCompetition,"Jul15-25,2020","$24,225",12teams,SoutheastAsia,XctN,NEW,3,2020
OGADotaPITSeason2:Americas,"Jul16-21,2020","$25,000",8teams,Americas,QC,TP,3,2020
Dota2SecondaryProfessionalLeague2020Season2,"Jul08-19,2020","$7,150",8teams,China,Blaze,Ocean,3,2020
RazerSEAInvitational2020,"Jun26-Jul12,2020","$5,000",10teams,SoutheastAsia,Neon,496,3,2020
ArenaofBloodSeason2,"Apr21-Jul02,2020","$10,000",8teams,Europe&CIS,EXTR,Empire,3,2020
AsiaSummerChampionship,"Jun15-30,2020","$10,000",12teams,SoutheastAsia,Neon,NEW,3,2020
VulkanFightSeries,"May29-Jun18,2020","$10,000",8teams,Europe&CIS,Empire,OG.Seed,3,2020
OMGSummerCup,"Jun08-15,2020","$6,000",8teams,Europe&CIS,OG.Seed,CR4ZY,3,2020
SazkaeLEAGUESpring2020,"Jun13-14,2020","$3,780",8teams,CzechRepublic&Slovakia,SAMPI,eSuba,3,2020
RussianEsportsStudentLeague2020,"Jun13-14,2020","$12,942",8teams,Russia,TSU,FEFU,3,2020
MovistarLigaProGamingSeason4,"Apr22-Jun14,2020","$5,000",10teams,SouthAmerica,NoPing,EGB,3,2020
HashtagIndyTournamentSeason3,"May16-Jun07,2020","$8,898",8teams,Thailand,MG.Trust,MSCh,3,2020
ParimatchLeagueSeason3RoundRobin,"May10-Jun06,2020","$7,000",8teams,CIS,VP,FTM,3,2020
OceanicEsportsDotaLeagueSeason1,"Apr13-Jun06,2020","$17,420",10teams,Oceania,FptG,SB.AU,3,2020
StellaCup,"May20-Jun04,2020","$14,064",12teams,Asia,PG,Elepht,3,2020
GlobalInfectionCup,"May14-31,2020","$10,000",12teams,Europe&CIS,NOVA,EmpH,3,2020
EpulzeGlobalDota2League:Europe-Division1,"May13-31,2020","$3,000",8teams,Europe,hehe,KVP,3,2020
EpulzeGlobalDota2League:SouthAmerica-Division1,"May12-31,2020","$3,000",8teams,SouthAmerica,INF,L0w_P,3,2020
EpulzeGlobalDota2League:NAUnderdogs-Division1,"May07-31,2020","$3,000",8teams,NorthAmerica,Doze,StepOM,3,2020
EpulzeGlobalDota2League:SoutheastAsia-Division1,"May07-30,2020","$3,000",8teams,SoutheastAsia,Neon,KP,3,2020
CollegiateStarleague2019/2020,"Oct19,2019-May30,2020","$50,000",60teams,UnitedStates,UIC,ut,3,2020
OMGCup3,"May18-29,2020","$6,000",8teams,Europe&CIS,CR4ZY,Vikin.gg,3,2020
EpulzeGlobalDota2LeagueSeason1:CIS-Division1,"May07-29,2020","$3,000",8teams,CIS,NOVA,LGBoys,3,2020
SEADotaInvitationalSeason1,"May16-24,2020","$7,000",8teams,SoutheastAsia,T1,Cignal,3,2020
RussianEsportsChampionship2020,"Apr18-May24,2020","$20,940",35teams,Russia,Unique,timur,3,2020
ChinaDota2DevelopmentLeagueSeason3,"Mar30-May24,2020","$5,048",10teams,China,SAG,iG.V,3,2020
Cyber.betCup:SpringSeries-EU,"May11-20,2020","$7,000",8teams,Europe,Vikin.gg,OG.Seed,3,2020
VulcanChampionLeagueS2,"May10-19,2020","$14,064",12teams,China,LeoG,Ocean,3,2020
HephaestusCup,"Apr27-May18,2020","$14,066",11teams,Asia,T1,Adroit,3,2020
Cyber.betCup:SpringSeries-SEA,"May11-17,2020","$5,000",8teams,SoutheastAsia,GF,Cignal,3,2020
AsiaSpringInvitational,"May04-17,2020","$32,000",8teams,Asia,iG,KG,3,2020
IsolationCup,"May04-16,2020","$5,000",12teams,Europe&CIS,Unique,Nemiga,3,2020
ESLPremiership2020Spring,"Mar03-May16,2020","$12,708",6teams,UnitedKingdom,SWater,nerd,3,2020
Dota2SecondaryProfessionalLeague2020,"May02-14,2020","$7,045",12teams,China,iG.V,Ocean,3,2020
WePlay!PushkaLeagueS1:Division2,"Apr23-May12,2020","$5,000",8teams,Europe&CIS,Vikin.gg,Unique,3,2020
VulcanChampionLeague,"Apr28-May07,2020","$14,091",12teams,China,CLcbat,NB.Y,3,2020
IlusionSpring,"Apr16-May05,2020","$5,000",12teams,SouthAmerica,4Z,INF,3,2020
HomeCamp,"Apr24-May04,2020","$5,000",12teams,CIS,NOVA,Friends,3,2020
RealmsCollide,"Apr29-May03,2020","$10,000",8teams,SouthAmerica,bc,TP,3,2020
Dota2BEATInvitationalSeason9,"Apr28-30,2020","$10,000",4teams,NorthAmerica,4Z,QC,3,2020
SECTORDOTA2Season2,"Apr08-28,2020","$10,000",8teams,Europe&CIS,Vikin.gg,Nemiga,3,2020
BetsafeInvitational,"Apr24-26,2020","$2,500",4teams,SouthAmerica,NoPing,INF,3,2020
SIGULProLeague,"Feb27-Apr26,2020","$15,000",10teams,CIS,Vikin.gg,EXTR,3,2020
SpringChampionship,"Apr07-22,2020","$7,000",12teams,Europe&CIS,CF,TPB,3,2020
EpicOriginsLeagueSeason1,"Feb17-Apr22,2020","$12,000",16teams,CIS,Cascade,Revolt,3,2020
StayHomeChallenge,"Apr01-19,2020","$15,000",8teams,Europe&CIS,VP.P,Vikin.gg,3,2020
ESLSEAChampionship2020,"Mar09-Apr19,2020","$20,000",8teams,SoutheastAsia,BOOM,GF,3,2020
GamingWorld,"Apr18,2020","$10,319",8teams,Europe,VP.P,yK-,3,2020
AmadeusCup,"Apr07-18,2020","$14,141",12teams,Asia,Neon,RH,3,2020
JJBSpringCupSeason2,"Apr06-12,2020","$42,630",12teams,China,Newbee,iG.V,3,2020
MovistarLigaProGamingSeason3,"Jan28-Apr11,2020","$5,000",10teams,Peru,TP,INF.Y,3,2020
HopeDevelopmentCup,"Apr01-09,2020","$21,268",12teams,China,Ocean,YKW,3,2020
AsiaChallengerLeagueSeason7,"Mar13-27,2020","$28,317",9teams,Asia,Vampr,ImtG,3,2020
ThailandCelestialCupS2,"Mar13-26,2020","$14,085",12teams,Asia,ex-Lwky,Strb,3,2020
EpicChallengerLeagueSeason1,"Feb17-Mar26,2020","$30,000",16teams,CIS,EmpH,Khan,3,2020
GGBETChampionship2,"Mar14-24,2020","$10,000",12teams,Europe&CIS,Vikin.gg,CL,3,2020
AsianHeroLeagueS2,"Mar13-24,2020","$22,625",12teams,Asia,B.Knight,CLcbat,3,2020
HotPriceLeagueSeason2,"Mar10-23,2020","$7,000",16teams,Europe&CIS,Vikin.gg,EmpH,3,2020
NoMajorNoProblem,"Mar17-22,2020","$5,000",8teams,SouthAmerica,TP,INF.Y,3,2020
ONEEsportsDota2InvitationalJakarta:IndonesiaQualifier,"Mar14-15,2020","$3,300",4teams,"Jakarta,Indonesia",BOOM,Oracle,3,2020
ArenaofBlood,"Feb28-Mar15,2020","$10,000",8teams,Europe&CIS,CF,A.Mode,3,2020
ParimatchLeagueSeason2RoundRobin,"Feb01-Mar13,2020","$7,000",8teams,CIS,VP,HR,3,2020
MastersTournamentSeason5,"Feb27-Mar12,2020","$28,781",9teams,China,Varanid,Cobra,3,2020
WinterMadness,"Feb24-Mar10,2020","$5,000",12teams,Europe&CIS,Vikin.gg,SNG,3,2020
ONEEsportsDota2InvitationalJakarta:KualaLumpurQualifier,"Mar07-08,2020","$3,300",4teams,"KualaLumpur,Malaysia",RR,Cignal,3,2020
EliteChallengeSeason3,"Feb24-Mar06,2020","$23,094",12teams,Asia,KG.L,Sirius,3,2020
BlueFlameCup,"Feb20-Mar02,2020","$14,344",12teams,Asia,YKW,Strb,3,2020
ChinaDota2DevelopmentLeagueSeason2,"Oct14,2019-Mar01,2020","$5,143",8teams,China,SAG,CDEC,3,2020
RedStarCupSeason3,"Feb04-26,2020","$42,835",9teams,Asia,WG,Punch,3,2020
AsiaChallengerLeagueSeason6,"Feb03-25,2020","$28,476",9teams,Asia,Meteor,Panda,3,2020
ThailandCelestialCup,"Feb01-12,2020","$14,373",12teams,Asia,Lowkey,Cosy,3,2020
AsianDOTA2GoldOccupationCompetitionS10,"Jan15-Feb03,2020","$43,305",9teams,Asia,Ltning,5bro,3,2020
ESLIndiaPremiership2019WinterMastersLeagueFinals,"Jan31-Feb02,2020","$14,336",4teams,"NewDelhi,India",Avengers,WHPS!,3,2020
ParaBellum2020Dota2Tournament,"Jan29-Feb02,2020","$14,909",8teams,"Bangkok,Thailand",Neon,SGD,3,2020
MastersTournamentSeason4,"Jan15-Feb02,2020","$28,856",9teams,China,Monsoon,Meteor,3,2020
AEFPremierLeagueSeason3:PremierDivision,"Oct28,2019-Feb01,2020","$3,354",8teams,Australia,Oracle.Y,Athletico,3,2020
HotPriceLeagueSeason1,"Jan10-23,2020","$5,000",16teams,Europe&CIS,Vikin.gg,Majori,3,2020
WCAA2020,"Jan18-19,2020","$53,869",8teams,"Dalian,China",Poly,SU,3,2020
AsiaPacificPredatorLeague2020IndonesiaFinals,"Jan18-19,2020","$7,344",8teams,"Jakarta,Indonesia",BOOM,BrX,3,2020
JBOVietnamMasterLeagueSeason1,"Jan11-18,2020","$5,000",8teams,Vietnam,496,iMp,3,2020
OMG.BETCup2,"Jan13-17,2020","$4,000",8teams,Europe&CIS,forZe,Vikin.gg,3,2020
SIGULClubLeague,"Dec09,2019-Jan15,2020","$4,888",16teams,Russia,Cyber,Poly,3,2020
RedStarCupSeason2,"Dec31,2019-Jan14,2020","$43,572",9teams,Asia,LFS,WG,3,2020
AsiaChallengerLeagueSeason5,"Dec31,2019-Jan14,2020","$29,048",9teams,Asia,Honor,Destiny,3,2020
EliteChallengeSeason2,"Jan05-12,2020","$23,123",12teams,Asia,Newbee,Serenity,3,2020
AsiaPacificPredatorLeague2020VietnamFinals,"Dec28,2019-Jan11,2020","$4,000",4teams,"Hanoi,Vietnam",496,iMp,3,2020
WorldElectronicSportsGames2019LatAMNorth,"Jan10,2020","$3,125",4teams,SouthAmerica,UNK,TP,3,2020
MaincastWinterBrawl,"Dec28,2019-Jan05,2020","$25,000",12teams,Europe&CIS,FTM,OG.Seed,3,2020
EliteChallengeSeason1,"Dec23-30,2019","$28,636",12teams,Asia,Newbee,KG,3,2019
AsianDOTA2GoldOccupationCompetitionS9,"Dec14-30,2019","$42,955",9teams,Asia,T.V.,TA,3,2019
MastersTournamentSeason3,"Dec13-29,2019","$28,618",9teams,China,Galaxy,ImtG,3,2019
AsiaPacificPredatorLeague2020BangladeshFinals,"Dec13-27,2019","$7,238",8teams,"Dhaka,Bangladesh",TC,CmoK,3,2019
WinterBlast,"Dec13-24,2019","$15,000",10teams,Europe,MR,SNG,3,2019
SECTOR:MOSTBETDOTA2Season1,"Nov19-Dec24,2019","$10,112",11teams,Europe&CIS,Vikin.gg,EXTR,3,2019
WorldElectronicSportsGames2019MexicoFinals,"Dec22,2019","$3,125",4teams,Mexico,Xolotl,SKG,3,2019
AorusLeague2019-ChristmasEdition,"Dec16-22,2019","$4,000",8teams,SouthAmerica,TP,Vicious,3,2019
WorldElectronicSportsGames2019LatAMSouth,"Dec21,2019","$3,125",4teams,SouthAmerica,Impetus,Omega,3,2019
WorldElectronicSportsGames2019OceaniaFinals,"Dec15,2019","$6,926","","Sydney,Australia",Oracle.Y,Athletico,3,2019
MangoTangoLeagueNon-ProDivisionA,"Dec12-15,2019","$10,000",16teams,CIS,EmpH,MU,3,2019
X-Bet.coRampageSeries#6,"Dec09-15,2019","$5,000",8teams,SouthAmerica,TP,paiN,3,2019
KyivstarAutumnCup,"Dec08-15,2019","$4,000",8teams,Europe,EXTR,MR,3,2019
SECTOR:MOSTBETDOTA2,"Nov19-Dec15,2019","$10,047",11teams,CIS,Vikin.gg,EXTR,3,2019
RussianEsportsCup2019,"Nov02-Dec15,2019","$23,923",59teams,"Kazan,Russia",Gentle,TPB,3,2019
WorldElectronicSportsGames2019BrazilFinals,"Dec14,2019","$3,125",4teams,Brazil,paiN,NoPing,3,2019
IeSFWorldChampionship2019,"Dec12-14,2019","$11,759",20teams,"Seoul,SouthKorea",SWE,THA,3,2019
WorldElectronicSportsGames2019ChinaFinals,"Dec11-13,2019","$48,746",12teams,"Suzhou,China",PSG.LGD,iG,3,2019
AsiaPacificPredatorLeague2020MongoliaFinals,"Dec09-13,2019","$2,217","","Ulaanbaatar,Mongolia",IMG,TBD,3,2019
AsianDOTA2GoldOccupationCompetitionS8,"Nov25-Dec13,2019","$43,012",9teams,Asia,5bro,Rockets,3,2019
AsiaChallengerLeagueSeason4,"Nov13-Dec12,2019","$42,679",10teams,Asia,Etherl,Galaxy,3,2019
30thSoutheastAsianGames,"Dec07-09,2019","",8teams,"SanJuan,Philippines",PHL,THA,3,2019
WorldElectronicSportsGames2019JapanFinals,"Dec07-08,2019","$20,000","","Tokyo,Japan",MotoPro,ENLIFETM,3,2019
WorldElectronicSportsGames2019NorthAmericaFinals,"Dec07-08,2019","$25,000",2teams,"Montréal,Canada",PandaS,Finest,3,2019
AsianHeroLeagueS1,"Nov25-Dec08,2019","$28,427",12teams,Asia,LieYing,CLcbat,3,2019
MovistarLigaProGamingSeason2,"Nov14-Dec08,2019","$4,500",10teams,Peru,TP,Vicious,3,2019
TempestChallengeCup,"Nov25-Dec02,2019","$7,119",8teams,Asia,Jakiro,Flower,3,2019
WorldElectronicSportsGames2019China-SouthernCircuit,"Nov30-Dec01,2019","$11,386",6teams,"Xiamen,China",Serenity,Revive,3,2019
ESLChampionnatNationalWinter2019,"Sep22-Dec01,2019","$3,303",8teams,France,ZR,AH,3,2019
AsiaPacificPredatorLeague2020PhilippinesFinals,"Nov30,2019","$4,946",4teams,"Manila,Philippines",Neon,Lowkey,3,2019
WorldElectronicSportsGames2019ChinaOnlineQualifier,"Nov25-30,2019","$2,704","",China,iG,PSG.LGD,3,2019
AsiaPacificPredatorLeague2020MyanmarFinals,"Nov23-28,2019","$3,351",4teams,"Yangon,Myanmar",Veteran,KPG,3,2019
GGBETChampionship,"Nov16-25,2019","$10,000",8teams,Europe,178,SNG,3,2019
HashtagIndyTournamentSeason2,"Nov06-25,2019","$13,274",8teams,Thailand,AxH,RRQ,3,2019
ESLPremiership2019Winter,"Nov24,2019","$3,230",4teams,"Manchester,UnitedKingdom",CG,aghsh,3,2019
WorldElectronicSportsGames2019China-WesternCircuit,"Nov23-24,2019","$11,401",6teams,"Chongqing,China",Newbee,Initial,3,2019
ESLIndiaPremiership2019FallMastersLeagueFinals,"Nov21-23,2019","$14,903",4teams,"Hyderabad,India",GE,ROG,3,2019
ESLAdriaLeagueSeason4,"Nov17,2019","$11,020",4teams,"Zagreb,Croatia",LVLUP,Tim123,3,2019
WorldElectronicSportsGames2019CentralAsiaFinals,"Nov16-17,2019","$3,898",6teams,"Almaty,Kazakhstan",DDEAD,UZB,3,2019
WorldElectronicSportsGames2019China-NorthernCircuit,"Nov16-17,2019","$11,406",6teams,"Shenyang,China",KG,TNT,3,2019
AsianMastersLeagueS4,"Nov11-16,2019","$42,774",8teams,Asia,Newbee,SAG,3,2019
AsiaAutumnCommunicationLeague,"Nov04-15,2019","$28,516",12teams,Asia,Cancelled,"",3,2019
EliteCupSeason2,"Nov03-15,2019","$28,516",8teams,China,B.Knight,Buffl,3,2019
AsianDOTA2GoldOccupationCompetitionS7,"Nov01-15,2019","$42,774",12teams,Asia,Ntmr,Ltning,3,2019
ParimatchLeagueSeason1RoundRobin,"Oct11-Nov15,2019","$5,000",8teams,CIS,VP,TSpirit,3,2019
MastersTournamentSeason2,"Nov01-12,2019","$28,574",8teams,China,Etherl,ImtG,3,2019
GodLeague,"Nov04-11,2019","$14,315",12teams,Asia,Neon,Flower,3,2019
AsiaPacificPredatorLeague2020MalaysiaFinals,"Nov09-10,2019","$11,521",16teams,"KualaLumpur,Malaysia",FG,CDEC.A,3,2019
WorldElectronicSportsGames2019China-EasternCircuit,"Nov09-10,2019","$11,432",6teams,"Hefei,China",VG,CDEC,3,2019
BattleOfTheCities2019,"Nov09,2019","$6,271",4teams,"St.Petersburg,Russia",PartyNaNoch,Arbuzik,3,2019
MovistarLigaProGamingSeason1,"Sep12-Nov06,2019","$5,000",8teams,Peru,TP,Vicious,3,2019
META'19AlfaDonate,"Nov03,2019","$3,188",4teams,"Minsk,Belarus",Unique,DDM,3,2019
WorldElectronicSportsGames2019CanadaClosedQualifier,"Nov02-03,2019","$15,000",6teams,Canada,PandaS,DS,3,2019
WorldElectronicSportsGames2019SoutheastAsiaFinals,"Oct31-Nov03,2019","$15,000",10teams,"KualaLumpur,Malaysia",TNC,496,3,2019
WorldElectronicSportsGames2019USAClosedQualifier,"Nov02,2019","$25,500",6teams,UnitedStates,Finest,ZZ,3,2019
AsiaChallengerLeagueSeason3,"Oct01-31,2019","$42,581",12teams,Asia,Honor,Varanid,3,2019
ESLClashofNationsBangkok2019,"Oct24-27,2019","$50,000",8teams,"Bangkok,Thailand",Adroit,BOOM,3,2019
AsiaDOTA2MasterLeagueSeason2,"Oct19-27,2019","$28,328",14teams,Asia,iG.V,Blaze,3,2019
RedStarCupSeason1,"Oct15-25,2019","$14,164",8teams,Asia,Albtrs,Neon,3,2019
